class,direction,rank,gene,coefficient
"CD16-positive, CD56-dim natural killer cell, human",positive,1,ENSG00000198821,0.68276507
"CD16-positive, CD56-dim natural killer cell, human",positive,2,ENSG00000211829,0.6215292
"CD16-positive, CD56-dim natural killer cell, human",positive,3,ENSG00000203747,0.44301236
"CD16-positive, CD56-dim natural killer cell, human",positive,4,ENSG00000115607,0.35836017
"CD16-positive, CD56-dim natural killer cell, human",positive,5,ENSG00000159674,0.25854236
"CD16-positive, CD56-dim natural killer cell, human",positive,6,ENSG00000189430,0.25000292
"CD16-positive, CD56-dim natural killer cell, human",positive,7,ENSG00000171476,0.23471056
"CD16-positive, CD56-dim natural killer cell, human",positive,8,ENSG00000111796,0.22069211
"CD16-positive, CD56-dim natural killer cell, human",positive,9,ENSG00000075426,0.21426195
"CD16-positive, CD56-dim natural killer cell, human",positive,10,ENSG00000180644,0.21242803
"CD16-positive, CD56-dim natural killer cell, human",positive,11,ENSG00000169583,0.21207291
"CD16-positive, CD56-dim natural killer cell, human",positive,12,ENSG00000115738,0.17707986
"CD16-positive, CD56-dim natural killer cell, human",positive,13,ENSG00000127947,0.16920565
"CD16-positive, CD56-dim natural killer cell, human",positive,14,ENSG00000136213,0.15085512
"CD16-positive, CD56-dim natural killer cell, human",positive,15,ENSG00000150045,0.13217786
"CD16-positive, CD56-dim natural killer cell, human",positive,16,ENSG00000109906,0.123746045
"CD16-positive, CD56-dim natural killer cell, human",positive,17,ENSG00000196684,0.10901167
"CD16-positive, CD56-dim natural killer cell, human",positive,18,ENSG00000115523,0.1056878
"CD16-positive, CD56-dim natural killer cell, human",positive,19,ENSG00000164674,0.09943412
"CD16-positive, CD56-dim natural killer cell, human",positive,20,ENSG00000150637,0.09785286
"CD16-positive, CD56-dim natural killer cell, human",negative,1,ENSG00000277734,-0.3337438
"CD16-positive, CD56-dim natural killer cell, human",negative,2,ENSG00000167286,-0.27478352
"CD16-positive, CD56-dim natural killer cell, human",negative,3,ENSG00000110448,-0.25000417
"CD16-positive, CD56-dim natural killer cell, human",negative,4,ENSG00000132002,-0.24423702
"CD16-positive, CD56-dim natural killer cell, human",negative,5,ENSG00000167615,-0.20572731
"CD16-positive, CD56-dim natural killer cell, human",negative,6,ENSG00000112893,-0.087890685
"CD16-positive, CD56-dim natural killer cell, human",negative,7,ENSG00000178188,-0.054393526
"CD16-positive, CD56-dim natural killer cell, human",negative,8,ENSG00000198712,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,9,ENSG00000184216,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,10,ENSG00000169057,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,11,ENSG00000196924,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,12,ENSG00000102119,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,13,ENSG00000102125,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,14,ENSG00000071553,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,15,ENSG00000203879,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,16,ENSG00000160211,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,17,ENSG00000269335,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,18,ENSG00000160219,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,19,ENSG00000183878,0.0
"CD16-positive, CD56-dim natural killer cell, human",negative,20,ENSG00000012817,0.0
"effector memory CD8-positive, alpha-beta T cell",positive,1,ENSG00000271503,1.2006936
"effector memory CD8-positive, alpha-beta T cell",positive,2,ENSG00000153563,0.81763476
"effector memory CD8-positive, alpha-beta T cell",positive,3,ENSG00000277734,0.723609
"effector memory CD8-positive, alpha-beta T cell",positive,4,ENSG00000139187,0.35137147
"effector memory CD8-positive, alpha-beta T cell",positive,5,ENSG00000124942,0.3087604
"effector memory CD8-positive, alpha-beta T cell",positive,6,ENSG00000167286,0.27898315
"effector memory CD8-positive, alpha-beta T cell",positive,7,ENSG00000077984,0.2499971
"effector memory CD8-positive, alpha-beta T cell",positive,8,ENSG00000166949,0.24025384
"effector memory CD8-positive, alpha-beta T cell",positive,9,ENSG00000142347,0.18031503
"effector memory CD8-positive, alpha-beta T cell",positive,10,ENSG00000115232,0.17362706
"effector memory CD8-positive, alpha-beta T cell",positive,11,ENSG00000229474,0.16587749
"effector memory CD8-positive, alpha-beta T cell",positive,12,ENSG00000153113,0.1565514
"effector memory CD8-positive, alpha-beta T cell",positive,13,ENSG00000158050,0.15078922
"effector memory CD8-positive, alpha-beta T cell",positive,14,ENSG00000181847,0.1479895
"effector memory CD8-positive, alpha-beta T cell",positive,15,ENSG00000114423,0.13776232
"effector memory CD8-positive, alpha-beta T cell",positive,16,ENSG00000198851,0.13094805
"effector memory CD8-positive, alpha-beta T cell",positive,17,ENSG00000198648,0.09220025
"effector memory CD8-positive, alpha-beta T cell",positive,18,ENSG00000033867,0.089869455
"effector memory CD8-positive, alpha-beta T cell",positive,19,ENSG00000178573,0.08879444
"effector memory CD8-positive, alpha-beta T cell",positive,20,ENSG00000067082,0.08389558
"effector memory CD8-positive, alpha-beta T cell",negative,1,ENSG00000074966,-0.37670276
"effector memory CD8-positive, alpha-beta T cell",negative,2,ENSG00000064393,-0.27356526
"effector memory CD8-positive, alpha-beta T cell",negative,3,ENSG00000182568,-0.25001517
"effector memory CD8-positive, alpha-beta T cell",negative,4,ENSG00000176390,-0.22663479
"effector memory CD8-positive, alpha-beta T cell",negative,5,ENSG00000072110,-0.15170914
"effector memory CD8-positive, alpha-beta T cell",negative,6,ENSG00000099204,-0.14209355
"effector memory CD8-positive, alpha-beta T cell",negative,7,ENSG00000175727,-0.12106592
